molecule_id,protein_family,MW,logP,HBD,HBA,TPSA,rotB,aromatic_rings,HOMO_eV,LUMO_eV,gap_eV,dipole_D,E_DFT_kcalmol,E_xTB_kcalmol,n_hbonds,n_hydrophobic,n_pi,n_salt_bridges,buried_SA_A2,pKd,Ro5_violations,Ro5_pass,delta_DFT_minus_xTB
MOL00000,ion_channel,475.78179148022315,1.1864009469574954,1,4,80.50189068704324,2,2,-6.006625332701951,-2.497927990225995,3.5086973424759558,2.0751341233402947,10.40180643209668,12.88534782074988,1,4,3,2,537.8065362102847,6.432925480458429,0,True,-2.483541388653199
MOL00001,ion_channel,401.6590608928193,2.0488009194673324,1,5,77.96742341190401,7,6,-7.049364181078592,-2.2688873927375575,4.780476788341034,3.337011987241754,14.189244206835577,16.68392600418579,3,3,5,0,478.1380708851083,7.1373251900091805,0,True,-2.4946817973502124
MOL00002,protease,458.33542852092523,2.527272310200305,2,4,88.61456063978919,6,5,-5.740382996947275,-3.4254744761068947,2.3149085208403806,2.4721910886443053,13.647758285858062,13.368778196360967,0,7,1,1,369.03237128120765,6.972043765982741,0,True,0.27898008949709485
MOL00003,kinase,548.8459239709307,4.237700340874425,1,5,71.42469785420583,5,1,-6.376746714081783,-2.404262254472769,3.9724844596090136,2.4617665383999503,12.637037405737756,15.509247901623041,1,6,0,1,358.24260879481227,7.545335633793542,1,False,-2.8722104958852857
MOL00004,nuclear_receptor,399.95673388300463,1.3903050933186434,4,7,71.77700445466266,8,3,-5.648413537351843,-2.0241588044849506,3.624254732866892,3.249996697819327,15.140611793819723,16.65244434722009,0,3,5,2,534.4726995056,6.309483877829742,0,True,-1.5118325534003674
MOL00005,protease,306.63152651028975,2.5144724483360763,3,7,101.18279143278689,6,4,-6.9412998295434996,-2.573393557193511,4.367906272349988,4.616572961974236,14.379245806740139,15.437874887141245,1,9,2,2,497.3436114622601,5.764143900146239,0,True,-1.058629080401106
MOL00006,protease,411.9534327346098,3.2314194352045935,2,5,86.82525722614314,4,4,-6.449758546523878,-2.5350818221873936,3.914676724336484,3.8558557268903093,12.958879815630084,12.627229593128622,1,8,5,2,636.3811332180467,8.245368820319534,0,True,0.33165022250146237
MOL00007,PPI,437.1906902521339,3.6506275941898276,2,1,6.387298440104306,2,4,-5.444607335371805,-1.5351592908941951,3.9094480444776103,0.45703087867617903,10.19725515043919,13.685064013618826,1,8,1,1,508.37386607644237,5.737185144368647,0,True,-3.4878088631796356
MOL00008,nuclear_receptor,248.80261131372737,4.828981383078062,2,9,115.99381138176463,2,0,-6.215579050705072,-2.6619978254413743,3.553581225263698,4.91634381531874,10.752360356734107,9.335421711876355,1,5,0,2,256.13885741389095,6.705274645687404,0,True,1.4169386448577512
MOL00009,ion_channel,395.3582759795626,1.0412509062808728,2,4,63.75263533987487,5,1,-6.057306712972337,-2.8679721835873107,3.189334529385026,2.119874361424034,10.828438882156686,10.579089026582363,2,6,1,1,481.0631928379075,5.542029842068049,0,True,0.249349855574323
